ID,NAME,ADDRESS,CITY,STATE,Type of school,ZIP,TELEPHONE,COUNTY,COUNTYFIPS,COUNTRY,WEBSITE,ALIAS,TOTAL_ENROLLMENT
2942,GRACE COLLEGE OF DIVINITY,5117 CLIFFDALE ROAD,FAYETTEVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",28314,(910) 221-2224,CUMBERLAND,37051,USA,www.GCD.edu,NOT AVAILABLE,144
2943,COSMETOLOGY COLLEGE OF FRANKLIN COUNTY,570 S MAIN ST,SAINT CLAIR,MO,COSMETOLOGY AND BARBER SCHOOLS,63077,(636) 629-3433,FRANKLIN,29071,USA,cosmetologycollegefranklincounty.com/,NOT AVAILABLE,15
2944,THE SALON PROFESSIONAL ACADEMY,4229 HIGHWAY 52 NORTH,ROCHESTER,MN,COSMETOLOGY AND BARBER SCHOOLS,55901,(507) 285-3365,OLMSTED,27109,USA,www.tsparochester.com,TSPA,22
2945,AVEDA INSTITUTE-NEW MEXICO,1816 CENTRAL AVE SW,ALBUQUERQUE,NM,COSMETOLOGY AND BARBER SCHOOLS,87104,(505) 294-5333 EXT 366,BERNALILLO,35001,USA,www.avedanm.com,NOT AVAILABLE,85
2946,PAUL MITCHELL THE SCHOOL-HONOLULU,"1123 ELEVENTH AVENUE, SUITE 102",HONOLULU,HI,COSMETOLOGY AND BARBER SCHOOLS,96816,(808) 734-7007,HONOLULU,15003,USA,paulmitchell.edu/honolulu,NOT AVAILABLE,133
2947,ELITE COSMETOLOGY SCHOOL,"56300 TWENTYNINE PALMS HIGHWAY, SUITE 113",YUCCA VALLEY,CA,COSMETOLOGY AND BARBER SCHOOLS,92284,(760) 365-8222,SAN BERNARDINO,6071,USA,eliteschools.edu,NOT AVAILABLE,88
2948,REAL BARBERS COLLEGE,528 WEST LINCOLN AVE,ANAHEIM,CA,COSMETOLOGY AND BARBER SCHOOLS,92805,(714) 991-1222,ORANGE,6059,USA,www.therealbarbercollege.com,NOT AVAILABLE,104
2949,CAPILO SCHOOL OF HAIR DESIGN,43 BRIDGE STREET,AUGUSTA,ME,COSMETOLOGY AND BARBER SCHOOLS,4330,(207) 621-9941 EXT 200,KENNEBEC,23011,USA,www.capilo.com,D/B/A AVEDA INSTITUTE MAINE A CAPILO SCHOOL,126
2950,LINDSEY INSTITUTE OF COSMETOLOGY,1059 SHIVE LANE,BOWLING GREEN,KY,COSMETOLOGY AND BARBER SCHOOLS,42103,(270) 796-3661,WARREN,21227,USA,www.lindseyinstitute.com,NOT AVAILABLE,55
2951,BUCKNER BARBER SCHOOL,"1515 SOUTH BUCKNER BOULEVARD, SUITE 147",DALLAS,TX,COSMETOLOGY AND BARBER SCHOOLS,75217,(214) 398-6416,DALLAS,48113,USA,bucknerbarberschool.com/,NOT AVAILABLE,23
2952,SIMMONS COLLEGE OF KENTUCKY,1018 SOUTH 7TH STREET,LOUISVILLE,KY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",40203,(502) 776-1443 EXT 113,JEFFERSON,21111,USA,www.simmonscollegeky.edu,SIMMONS BIBLE COLLEGE,216
2953,ATELIER ESTHETIQUE INSTITUTE OF ESTHETICS,"154 WEST 14TH STREET, SUITE 901",NEW YORK,NY,COSMETOLOGY AND BARBER SCHOOLS,10011,(212) 725-6130,NEW YORK,36061,USA,www.aeinstitute.net,NOT AVAILABLE,115
2954,HARRISON COLLEGE-MORRISVILLE,2001 CARRINGTON MILL BOULEVARD,MORRISVILLE,NC,JUNIOR COLLEGES,27560,(919) 246-9394,WAKE,37183,USA,harrison.edu,"THE CHEF'S ACADEMY-MORRISVILLE, NC",89
2955,WEST COAST UNIVERSITY-DALLAS,8435 NORTH STEMMONS FREEWAY,DALLAS,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",75247,(214) 453-4533,DALLAS,48113,USA,westcoastuniversity.edu/,NOT AVAILABLE,627
2956,STEVENS-HENAGER COLLEGE,720 SOUTH RIVER ROAD,ST. GEORGE,UT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",84790,(435) 628-9902 EXT 2125,WASHINGTON,49053,USA,www.stevenshenager.edu/locations/st-george,NOT AVAILABLE,111
2957,NATIONAL AMERICAN UNIVERSITY-BELLEVUE,3604 SUMMIT PLAZA DRIVE,BELLEVUE,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",68123,(409) 972-4250,SARPY,31153,USA,www.national.edu/locations/campuses/bellevue/,NOT AVAILABLE,98
2958,MYCOMPUTERCAREER.EDU-RALEIGH,5511 CAPITAL CENTER DR STE 500,RALEIGH,NC,COMPUTER TRAINING,27606,(919) 371-4820,WAKE,37183,USA,www.mycomputercareer.edu,"MYCOMPUTERCAREER.EDU, MYCOMPUTERCAREER",1358
2959,KAPLAN UNIVERSITY-AUGUSTA CAMPUS,14 MARKETPLACE DRIVE,AUGUSTA,ME,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",4330,(207) 213-2500,KENNEBEC,23011,USA,www.kaplanuniversity.edu/augusta-maine.aspx,NOT AVAILABLE,469
2960,SOUTH UNIVERSITY-CLEVELAND,4743 RICHMOND RD,WARRENSVILLE HEIGHTS,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",44128,(216) 755-5000,CUYAHOGA,39035,USA,"www.southuniversity.edu/cleveland#location=Cleveland,%20OH",NOT AVAILABLE,371
2961,COASTAL ALABAMA COMMUNITY COLLEGE,1900 US HWY 31 S,BAY MINETTE,AL,JUNIOR COLLEGES,36507,(251) 580-2100,BALDWIN,1003,USA,www.coastalalabama.edu,NOT AVAILABLE,4968
2962,HARTNELL COLLEGE,411 CENTRAL AVENUE,SALINAS,CA,JUNIOR COLLEGES,93901,(831) 755-6700,MONTEREY,6053,USA,www.hartnell.edu,NOT AVAILABLE,12072
2963,LOS MEDANOS COLLEGE,2700 EAST LELAND ROAD,PITTSBURG,CA,JUNIOR COLLEGES,94565,(925) 439-2181,CONTRA COSTA,6013,USA,www.losmedanos.edu/default.aspx,"LOS MEDANOS, LMC",9048
2964,COLLEGE OF MARIN,835 COLLEGE AVE,KENTFIELD,CA,JUNIOR COLLEGES,94904,(415) 457-8811,MARIN,6041,USA,www.marin.edu,NOT AVAILABLE,5749
2965,MIRACOSTA COLLEGE,ONE BARNARD DRIVE,OCEANSIDE,CA,JUNIOR COLLEGES,92056,(760) 757-2121,SAN DIEGO,6073,USA,www.miracosta.edu,NOT AVAILABLE,14617
2966,KANKAKEE COMMUNITY COLLEGE,100 COLLEGE DRIVE,KANKAKEE,IL,JUNIOR COLLEGES,60901,(815) 802-8100,KANKAKEE,17091,USA,www.kcc.edu,NOT AVAILABLE,3025
2967,ALLEN COUNTY COMMUNITY COLLEGE,1801 N COTTONWOOD,IOLA,KS,JUNIOR COLLEGES,66749,(620) 365-5116 EXT 100,ALLEN,20001,USA,www.allencc.edu,ALLEN COMMUNITY COLLEGE,2556
2968,PRINCE GEORGE'S COMMUNITY COLLEGE,301 LARGO RD,LARGO,MD,JUNIOR COLLEGES,20774,(301) 546-7422,PRINCE GEORGE'S,24033,USA,www.pgcc.edu,PGCC|PG|PG COLLEGE|PRINCE GEORGES COMMUNITY COLLEGE|PRINCE GEORGES COLLEGE|PRINCE GEORGE'S|PG COMM COLL|LARGO|,12113
2969,CALDWELL COMMUNITY COLLEGE AND TECHNICAL INSTITUTE,2855 HICKORY BOULEVARD,HUDSON,NC,JUNIOR COLLEGES,28638,(828) 726-2200,CALDWELL,37027,USA,www.cccti.edu,CCCTI,3495
2970,UNIVERSITY OF AKRON WAYNE COLLEGE,1901 SMUCKER RD,ORRVILLE,OH,JUNIOR COLLEGES,44667,(800) 221-8308,WAYNE,39169,USA,www.wayne.uakron.edu,NOT AVAILABLE,1796
2971,COLUMBUS STATE COMMUNITY COLLEGE,550 E SPRING ST,COLUMBUS,OH,JUNIOR COLLEGES,43215,(614) 287-5353,FRANKLIN,39049,USA,www.cscc.edu/,COLUMBUS STATE|CSCC|C-STATE,27204
2972,LORAIN COUNTY COMMUNITY COLLEGE,1005 NORTH ABBE RD,ELYRIA,OH,JUNIOR COLLEGES,44035,(440) 366-5222,LORAIN,39093,USA,www.lorainccc.edu,LCCC,11042
2973,OBERLIN COLLEGE,70 N PROFESSOR ST,OBERLIN,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",44074,(440) 775-8411,LORAIN,39093,USA,www.oberlin.edu,NOT AVAILABLE,2853
2974,OHIO DOMINICAN UNIVERSITY,1216 SUNBURY ROAD,COLUMBUS,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",43219,(614) 253-2741,FRANKLIN,39049,USA,www.ohiodominican.edu,ODU,1714
2975,OHIO STATE UNIVERSITY AGRICULTURAL TECHNICAL INSTITUTE,1328 DOVER RD,WOOSTER,OH,JUNIOR COLLEGES,44691,(330) 287-1330,WAYNE,39169,USA,ati.osu.edu/,NOT AVAILABLE,707
2976,REDLANDS COMMUNITY COLLEGE,1300 S COUNTRY CLUB RD,EL RENO,OK,JUNIOR COLLEGES,73036,(405) 262-2552,CANADIAN,40017,USA,www.redlandscc.edu,NOT AVAILABLE,2023
2977,PORTLAND COMMUNITY COLLEGE,12000 SW 49TH AVENUE,PORTLAND,OR,JUNIOR COLLEGES,97219,(971) 722-6111,MULTNOMAH,41051,USA,www.pcc.edu,NOT AVAILABLE,28005
2978,LUZERNE COUNTY COMMUNITY COLLEGE,1333 SOUTH PROSPECT STREET,NANTICOKE,PA,JUNIOR COLLEGES,18634,(570) 740-0200,LUZERNE,42079,USA,www.luzerne.edu,NOT AVAILABLE,5360
2979,PENNSYLVANIA STATE UNIVERSITY-PENN STATE ALTOONA,3000 IVYSIDE PARK,ALTOONA,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",16601,(814) 949-5000,BLAIR,42013,USA,altoona.psu.edu/,PENN STATE,3482
2980,UNIVERSITY OF PITTSBURGH-GREENSBURG,150 FINOLI DRIVE,GREENSBURG,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",15601,(724) 837-7040,WESTMORELAND,42129,USA,www.greensburg.pitt.edu/,NOT AVAILABLE,1523
2981,ANGELINA COLLEGE,3500 SOUTH FIRST,LUFKIN,TX,JUNIOR COLLEGES,75902,(936) 639-1301,ANGELINA,48005,USA,www.angelina.edu,AC,5215
2982,MIDLAND COLLEGE,3600 N GARFIELD,MIDLAND,TX,JUNIOR COLLEGES,79705,(432) 685-4500,MIDLAND,48329,USA,www.midland.edu,NOT AVAILABLE,5564
2983,JOHN TYLER COMMUNITY COLLEGE,13101 JEFFERSON DAVIS HWY,CHESTER,VA,JUNIOR COLLEGES,23831,(804) 796-4000,CHESTERFIELD,51041,USA,https://jtcc.edu,NOT AVAILABLE,10380
2984,GRAYS HARBOR COLLEGE,1620 EDWARD P SMITH DRIVE,ABERDEEN,WA,JUNIOR COLLEGES,98520,(360) 532-9020,GRAYS HARBOR,53027,USA,www.ghc.edu,GHC,1971
2985,PENINSULA COLLEGE,1502 E LAURIDSEN BLVD,PORT ANGELES,WA,JUNIOR COLLEGES,98362,(360) 452-9277,CLALLAM,53009,USA,www.pencol.edu,NOT AVAILABLE,2094
2986,SKAGIT VALLEY COLLEGE,2405 E. COLLEGE WAY,MOUNT VERNON,WA,JUNIOR COLLEGES,98273,(360) 416-7600,SKAGIT,53057,USA,www.skagit.edu,NOT AVAILABLE,4670
2987,SOUTH PUGET SOUND COMMUNITY COLLEGE,2011 MOTTMAN RD SW,OLYMPIA,WA,JUNIOR COLLEGES,98512,(360) 596-5241,THURSTON,53067,USA,www.spscc.edu,NOT AVAILABLE,4951
2988,TACOMA COMMUNITY COLLEGE,6501 S 19TH ST,TACOMA,WA,JUNIOR COLLEGES,98466,(253) 566-5000,PIERCE,53053,USA,www.tacomacc.edu,NOT AVAILABLE,6496
2989,SOUTHWEST WISCONSIN TECHNICAL COLLEGE,1800 BRONSON BLVD,FENNIMORE,WI,JUNIOR COLLEGES,53809,(608) 822-3262,GRANT,55043,USA,https://www.swtc.edu,SOUTHWEST TECH,2367
2990,UNIVERSITY OF WISCONSIN-EAU CLAIRE,105 GARFIELD AVE,EAU CLAIRE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",54701,(715) 836-4636,EAU CLAIRE,55035,USA,www.uwec.edu,NOT AVAILABLE,10904
2991,OHIO MEDICAL CAREER COLLEGE,"1133 S. EDWIN C MOSES BLVD, SUITE 110",DAYTON,OH,OTHER TECHNICAL AND TRADE SCHOOLS,45417,(937) 567-8880,MONTGOMERY,39113,USA,www.omcc.edu,NOT AVAILABLE,87
2992,PACIFIC NORTHWEST UNIVERSITY OF HEALTH SCIENCES,200 UNIVERSITY PARKWAY,YAKIMA,WA,JUNIOR COLLEGES,98901,(509) 452-5100,YAKIMA,53077,USA,https://www.pnwu.edu,PNWU,573
2993,FORTIS COLLEGE-PHOENIX,555 N 18 ST STE 110,PHOENIX,AZ,JUNIOR COLLEGES,85006,(602) 254-3099,MARICOPA,4013,USA,fortiscollege.edu,NOT AVAILABLE,156
2994,LAMSON INSTITUTE,5819 NW LOOP 410-STE 160,SAN ANTONIO,TX,OTHER TECHNICAL AND TRADE SCHOOLS,78238,(210) 520-1800 EXT 102,BEXAR,48029,USA,lamsoninstitute.com/,NOT AVAILABLE,288
2995,NORTHEAST TECHNOLOGY CENTER-CLAREMORE,1901 N HWY 88,CLAREMORE,OK,OTHER TECHNICAL AND TRADE SCHOOLS,74017,(918) 342-8066,ROGERS,40131,USA,www.netech.edu,NOT AVAILABLE,304
2996,BROWN MACKIE COLLEGE-PHOENIX,13430 N BLACK CANYON STE. 190,PHOENIX,AZ,JUNIOR COLLEGES,85029,(602) 337-3044,MARICOPA,4013,USA,www.brownmackie.edu/locations/phoenix,NOT AVAILABLE,164
2997,NASHVILLE BARBER AND STYLE ACADEMY,969 MADISON SQUARE,MADISON,TN,COSMETOLOGY AND BARBER SCHOOLS,37115,(615) 612-2505,DAVIDSON,47037,USA,www.nashvillebarberandstyleacademy.com,NOT AVAILABLE,36
2998,ESTELLE SKIN CARE AND SPA INSTITUTE,"10024 SKOKIE BLVD, #301",SKOKIE,IL,COSMETOLOGY AND BARBER SCHOOLS,60077,(847) 329-9174,COOK,17031,USA,www.estelle.edu,NOT AVAILABLE,61
2999,PIMA MEDICAL INSTITUTE-AURORA,13750 E. MISSISSIPPI AVENUE,AURORA,CO,OTHER TECHNICAL AND TRADE SCHOOLS,80012,(303) 368-7462,ARAPAHOE,8005,USA,pmi.edu,NOT AVAILABLE,257
3000,PURE AESTHETICS,2850 EAST SPEEDWAY BOULEVARD,TUCSON,AZ,COSMETOLOGY AND BARBER SCHOOLS,85716,(520) 514-7873,PIMA,4019,USA,www.pureaesthetics.edu,NOT AVAILABLE,45
3001,THE UNIVERSITY OF ALABAMA,739 UNIVERSITY BLVD,TUSCALOOSA,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",35487,(205) 348-6010,TUSCALOOSA,1125,USA,www.ua.edu/,NOT AVAILABLE,38563
3002,SCHOOL OF ARCHITECTURE AT TALIESIN,12621 N. FRANK LLOYD WRIGHT BLVD,SCOTTSDALE,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",85259,(480) 627-5345,MARICOPA,4013,USA,www.taliesin.edu,TALIESIN,17
3003,CANADA COLLEGE,4200 FARM HILL BLVD.,REDWOOD CITY,CA,JUNIOR COLLEGES,94061,(650) 306-3100,SAN MATEO,6081,USA,canadacollege.edu,NOT AVAILABLE,6152
3004,COAST COMMUNITY COLLEGE DISTRICT OFFICE,1370 ADAMS AVE.,COSTA MESA,CA,EDUCATIONAL SUPPORT SERVICES,92626,(714) 438-4600,ORANGE,6059,USA,www.cccd.edu,NOT AVAILABLE,-999
3005,CRAFTON HILLS COLLEGE,11711 SAND CANYON ROAD,YUCAIPA,CA,JUNIOR COLLEGES,92339,(909) 794-2161,SAN BERNARDINO,6071,USA,www.craftonhills.edu,CHC |CRAFTON |CRAFTON COLLEGE |CRAFTON HILLS,6251
3006,DE ANZA COLLEGE,21250 STEVENS CREEK BLVD.,CUPERTINO,CA,JUNIOR COLLEGES,95014,(408) 864-5678,SANTA CLARA,6085,USA,www.deanza.edu/,NOT AVAILABLE,20674
3007,FOOTHILL COLLEGE,12345 EL MONTE RD,LOS ALTOS HILLS,CA,JUNIOR COLLEGES,94022,(650) 949-7777,SANTA CLARA,6085,USA,www.foothill.edu,NOT AVAILABLE,15697
3008,LU ROSS ACADEMY,470 EAST THOMPSON BLVD,VENTURA,CA,COSMETOLOGY AND BARBER SCHOOLS,93001,(805) 643-5690 EXT 114,VENTURA,6111,USA,www.lurossacademy.com/,NOT AVAILABLE,217
3009,SKYLINE COLLEGE,3300 COLLEGE DR,SAN BRUNO,CA,JUNIOR COLLEGES,94066,(650) 738-4100,SAN MATEO,6081,USA,skylinecollege.edu,NOT AVAILABLE,9235
3010,SONOMA STATE UNIVERSITY,1801 E COTATI AVE,ROHNERT PARK,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",94928,(707) 664-2880,SONOMA,6097,USA,www.sonoma.edu,NOT AVAILABLE,9481
3011,REGIS UNIVERSITY,3333 REGIS BLVD,DENVER,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",80221,(800) 388-2366 EXT 2111,DENVER,8031,USA,www.regis.edu/,REGIS/REGIS COLLEGE/RU/JESUIT/JESUIT DENVER COLORADO/REGIS NURSING/COLLEGE OF COMPUTER & INFORMATION SCIENCE/COLLEGE OF BUSINESS & ECONOMICS/COLLEGE OF CONTEMPORARY LIBERAL STUDIES/RHCHP/RANGERS/REGIS U/REGIS IN COLORADO/RUECKERT-HARTMAN COLLEGE FOR HEALTH PROFESSIONS/COLLEGE OF COMPUTER & INFORMATION SCIENCES/COLLEGE OF BUSINESS & ECONOMICS,8341
3012,PICKENS TECHNICAL COLLEGE,500 AIRPORT BLVD,AURORA,CO,OTHER TECHNICAL AND TRADE SCHOOLS,80011,(303) 344-4910 EXT 27734,ARAPAHOE,8005,USA,www.pickenstech.org,T.H.PICKENS TECHNICAL CENTER,1011
3013,QUINCY UNIVERSITY,1800 COLLEGE AVE,QUINCY,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",62301,(217) 222-8020,ADAMS,17001,USA,www.quincy.edu,NOT AVAILABLE,1067
3014,BETHEL COLLEGE-NORTH NEWTON,300 E 27TH ST,NORTH NEWTON,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",67117,(316) 283-2500,HARVEY,20079,USA,www.bethelks.edu,NOT AVAILABLE,503
3015,GEORGE FOX UNIVERSITY,414 N MERIDIAN ST,NEWBERG,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",97132,(503) 538-8383,YAMHILL,41071,USA,www.georgefox.edu,NOT AVAILABLE,4076
3016,ALBRIGHT COLLEGE,1621 N. 13TH ST.,READING,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",19612,(610) 921-2381,BERKS,42011,USA,www.albright.edu,NOT AVAILABLE,2036
3017,GETTYSBURG COLLEGE,300 N WASHINGTON ST,GETTYSBURG,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",17325,(717) 337-6300,ADAMS,42001,USA,WWW.GETTYSBURG.EDU,NOT AVAILABLE,2411
3018,VOLUNTEER STATE COMMUNITY COLLEGE,1480 NASHVILLE PIKE,GALLATIN,TN,JUNIOR COLLEGES,37066,(615) 452-8600,SUMNER,47165,USA,www.volstate.edu,VSCC,8838
3019,MIDWESTERN STATE UNIVERSITY,3410 TAFT BLVD,WICHITA FALLS,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",76308,(940) 397-4000,WICHITA,48485,USA,www.mwsu.edu,MSU,6080
3020,BELLINGHAM TECHNICAL COLLEGE,3028 LINDBERGH AVE,BELLINGHAM,WA,JUNIOR COLLEGES,98225,(360) 752-7000,WHATCOM,53073,USA,www.btc.edu,BELLINGHAM VOCATIONAL TECHNICAL INSTITUTE,2392
3021,LOWER COLUMBIA COLLEGE,1600 MAPLE STREET,LONGVIEW,WA,JUNIOR COLLEGES,98632,(360) 442-2311,COWLITZ,53015,USA,https://lowercolumbia.edu,LCC,2935
3022,WALLA WALLA COMMUNITY COLLEGE,500 TAUSICK WAY,WALLA WALLA,WA,JUNIOR COLLEGES,99362,(509) 522-2500,WALLA WALLA,53071,USA,https://www.wwcc.edu/,NOT AVAILABLE,4253
3023,CARRINGTON COLLEGE-PHOENIX EAST,2149 W. DUNLAP AVE.,PHOENIX,AZ,JUNIOR COLLEGES,85021,(602) 216-7700,MARICOPA,4013,USA,www.carrington.edu,CARRINGTON COLLEGE-PHOENIX WESTSIDE |CARRINGTON COLLEGE-WESTSIDE,332
3024,FAYETTE INSTITUTE OF TECHNOLOGY,300 WEST OYLER AVENUE,OAK HILL,WV,OTHER TECHNICAL AND TRADE SCHOOLS,25901,(304) 469-2911 EXT 7104,FAYETTE,54019,USA,fit.faye.tec.wv.us/,FAYETTE PLATEAU VOCATIONAL TECHNICAL CENTER,40
3025,CHAMPION INSTITUTE OF COSMETOLOGY,611 S PALM CANYON DR STE 205,PALM SPRINGS,CA,COSMETOLOGY AND BARBER SCHOOLS,92264,(760) 322-2227,RIVERSIDE,6065,USA,www.championcosmetology.com/,NOT AVAILABLE,57
3026,OHIO TECHNICAL COLLEGE-POWERSPORT INSTITUTE,21210 EMERY ROAD,NORTH RANDALL,OH,JUNIOR COLLEGES,44128,(216) 881-1700 EXT 200,CUYAHOGA,39035,USA,www.ohiotech.edu/powersportinstitute/,NOT AVAILABLE,111
3027,MAYFIELD COLLEGE,35-325 DATE PALM DR STE 101,CATHEDRAL CITY,CA,JUNIOR COLLEGES,92234,(760) 328-5554,RIVERSIDE,6065,USA,www.mayfieldcollege.edu,NOT AVAILABLE,403
3028,ACADEMY OF ESTHETICS AND COSMETOLOGY,1242 SAN FERNANDO RD,SAN FERNANDO,CA,COSMETOLOGY AND BARBER SCHOOLS,91340,(818) 361-5501,LOS ANGELES,6037,USA,www.aecosmetology.com,NOT AVAILABLE,35
3029,CAREER DEVELOPMENT INSTITUTE INC,1830 S ROBERTSON BLVD,LOS ANGELES,CA,OTHER TECHNICAL AND TRADE SCHOOLS,90035,(310) 559-0225,LOS ANGELES,6037,USA,cdi.edu/,NOT AVAILABLE,84
3030,UNIVERSITY OF AESTHETICS & COSMETOLOGY,1357 N MILWAUKEE AVE,CHICAGO,IL,COSMETOLOGY AND BARBER SCHOOLS,60622,(773) 635-0141,COOK,17031,USA,www.uofac.edu,NOT AVAILABLE,30
3031,TRICOCI UNIVERSITY OF BEAUTY CULTURE-CHICAGO NW,5321 N HARLEM AVE,CHICAGO,IL,COSMETOLOGY AND BARBER SCHOOLS,60656,(630) 528-3330,COOK,17031,USA,www.tricociuniversity.edu,CNW,206
3032,TRICOCI UNIVERSITY OF BEAUTY CULTURE-GLENDALE HEIGHTS,530 E NORTH AVE,GLENDALE HEIGHTS,IL,COSMETOLOGY AND BARBER SCHOOLS,60139,(630) 790-1500,DUPAGE,17043,USA,www.tricociuniversity.edu,GLH,86
3033,TRICOCI UNIVERSITY OF BEAUTY CULTURE-PEORIA,602 W GLEN AVE,PEORIA,IL,COSMETOLOGY AND BARBER SCHOOLS,61614,(309) 679-4500,PEORIA,17143,USA,www.tricociuniversity.edu,PEO,124
3034,TRICOCI UNIVERSITY OF BEAUTY CULTURE-ROCKFORD,5485 E STATE ST,ROCKFORD,IL,COSMETOLOGY AND BARBER SCHOOLS,61108,(815) 226-9848,WINNEBAGO,17201,USA,www.tricociuniversity.edu,RFD,191
3035,COLLEGE OF WESTERN IDAHO,5500 EAST OPPORTUNITY DRIVE,NAMPA,ID,JUNIOR COLLEGES,83687,(208) 562-3000,CANYON,16027,USA,cwidaho.cc/,CWI,10303
3036,AVEDA INSTITUTE-COLUMBUS,889 BETHEL ROAD,COLUMBUS,OH,COSMETOLOGY AND BARBER SCHOOLS,43214,(614) 291-2421,FRANKLIN,39049,USA,nurturavedainstitutes.com/columbus/,NOT AVAILABLE,267
3037,GLOBAL HEALTH COLLEGE,6101 STEVENSON AVENUE,ALEXANDRIA,VA,JUNIOR COLLEGES,22304,(703) 212-7410,ALEXANDRIA,51510,USA,www.global.edu,NOT AVAILABLE,-999
3038,CET-SOLEDAD,"930 LOS COCHES DRIVE, SUITE 103",SOLEDAD,CA,OTHER TECHNICAL AND TRADE SCHOOLS,93960,(408) 287-7924,MONTEREY,6053,USA,https://cetweb.edu,NOT AVAILABLE,122
3039,HOUSTON TRAINING SCHOOLS-SOUTHWEST,7045 SOUTHWEST FREEWAY,HOUSTON,TX,COSMETOLOGY AND BARBER SCHOOLS,77074,(281) 867-9099,HARRIS,48201,USA,houstontrainingschools.net,NOT AVAILABLE,80
3040,WHITWORTH UNIVERSITY-ADULT DEGREE PROGRAMS,300 W HAWTHORNE RD,SPOKANE,WA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",99251,(509) 777-1000,SPOKANE,53063,USA,www.whitworth.edu/Index.aspx,NOT AVAILABLE,314
3041,UNIVERSITY OF CONNECTICUT,352 MANSFIELD ROAD,STORRS,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",6269,(860) 486-2000,TOLLAND,9013,USA,uconn.edu/,NOT AVAILABLE,27578
3042,EASTERN CONNECTICUT STATE UNIVERSITY,83 WINDHAM ST,WILLIMANTIC,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",6226,(860) 465-5000,WINDHAM,9015,USA,www.easternct.edu/,EASTERN|ECSU,5282
3043,DELAWARE TECHNICAL COMMUNITY COLLEGE-CENTRAL OFFICE,1832 NORTH DUPONT HIGHWAY,DOVER,DE,EDUCATIONAL SUPPORT SERVICES,19901,(302) 739-3737,KENT,10001,USA,https://www.dtcc.edu,DELAWARE TECH,-999
3044,NORTHERN BAPTIST THEOLOGICAL SEMINARY,"410 WARRENVILLE ROAD, SUITE 300",LISLE,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",60532,(630) 620-2100,DUPAGE,17043,USA,www.seminary.edu,NORTHERN SEMINARY,217
3045,SOUTHERN UNIVERSITY AND A & M COLLEGE,"3RD FLOOR, J.S. CLARK ADM. BUILDING, P.O. BOX 9374",BATON ROUGE,LA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",70813,(225) 771-4500,EAST BATON ROUGE,22033,USA,www.subr.edu,NOT AVAILABLE,6118
3046,HIBBING COMMUNITY COLLEGE,1515 E 25TH ST,HIBBING,MN,JUNIOR COLLEGES,55746,(218) 262-7200,ST. LOUIS,27137,USA,www.hibbing.edu,NOT AVAILABLE,1208
3047,MILES COMMUNITY COLLEGE,2715 DICKINSON STREET,MILES CITY,MT,JUNIOR COLLEGES,59301,(800) 541-9281,CUSTER,30017,USA,www.milescc.edu/,NOT AVAILABLE,459
3048,MONTANA TECH OF THE UNIVERSITY OF MONTANA,1300 W PARK ST,BUTTE,MT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",59701,(406) 496-4256,SILVER BOW,30093,USA,www.mtech.edu,NOT AVAILABLE,1909
